iter	Passed	Remaining
402	11220	2700
403	11255	2674
404	11285	2647
405	11311	2619
406	11338	2590
407	11364	2562
408	11391	2534
409	11417	2506
410	11446	2478
411	11479	2452
412	11506	2423
413	11532	2395
414	11559	2367
415	11585	2339
416	11611	2311
417	11637	2282
418	11663	2254
419	11692	2227
420	11724	2200
421	11751	2172
422	11777	2143
423	11803	2115
424	11829	2087
425	11856	2059
426	11881	2031
427	11909	2003
428	11941	1976
429	11969	1948
430	11996	1920
431	12021	1892
432	12048	1864
433	12074	1836
434	12102	1808
435	12134	1781
436	12162	1753
437	12194	1726
438	12220	1698
439	12245	1669
440	12273	1641
441	12299	1613
442	12326	1586
443	12357	1558
444	12390	1531
445	12417	1503
446	12443	1475
447	12469	1447
448	12501	1420
449	12528	1392
450	12555	1364
451	12585	1336
452	12614	1308
453	12641	1280
454	12667	1252
455	12693	1224
456	12718	1196
457	12745	1168
458	12772	1140
459	12804	1113
460	12829	1085
461	12857	1057
462	12884	1029
463	12910	1001
464	12937	973
465	12964	945
466	12991	918
467	13021	890
468	13052	862
469	13081	834
470	13107	807
471	13134	779
472	13162	751
473	13189	723
474	13215	695
475	13251	668
476	13283	640
477	13310	612
478	13337	584
479	13365	556
480	13393	529
481	13420	501
482	13455	473
483	13481	445
484	13508	417
485	13534	389
486	13560	361
487	13586	334
488	13611	306
489	13639	278
490	13673	250
491	13700	222
492	13726	194
493	13753	167
494	13779	139
495	13809	111
496	13835	83
497	13864	55
498	13893	27
499	13921	0
