iter	Logloss
147	0.2067473545
148	0.2056306714
149	0.2042299104
150	0.202734386
151	0.2011852155
152	0.2001380738
153	0.1989270726
154	0.1979510457
155	0.1965277418
156	0.1955763963
157	0.1942955905
158	0.1934346482
159	0.1923013618
160	0.1914193796
161	0.1904627676
162	0.1894422433
163	0.1883588993
164	0.1872371653
165	0.1863413798
166	0.1851384751
167	0.1841734906
168	0.1830764735
169	0.1817955508
170	0.1806887034
171	0.1798815953
172	0.1787983417
173	0.1773903112
174	0.176452542
175	0.1752983527
176	0.1746267127
177	0.1735033912
178	0.1725277418
179	0.1714789435
180	0.170309637
181	0.1692925547
182	0.1683678399
183	0.16748946
184	0.166642924
185	0.165834821
186	0.1651116152
187	0.1643068957
188	0.1633849687
189	0.1623619658
190	0.1613208867
191	0.1604809263
192	0.1596151367
193	0.1586366715
194	0.1578978046
195	0.156872646
196	0.1561187796
197	0.1554408357
198	0.1545584511
199	0.1536209603
200	0.1526742186
201	0.1518155435
202	0.1511761336
203	0.15045462
204	0.1496399525
205	0.148892596
206	0.1480472453
207	0.147319583
208	0.146477127
209	0.1455941514
210	0.1447603929
211	0.1440081438
212	0.1435366719
213	0.1428631861
214	0.1422091317
215	0.1414235293
216	0.140824312
217	0.1400841795
218	0.1391996523
219	0.1384177374
220	0.1375643965
221	0.1369145255
222	0.1360933823
223	0.1354116986
224	0.134772936
225	0.1341473004
226	0.1336005151
227	0.1329384756
228	0.132363933
229	0.1318160169
230	0.1312773051
231	0.1306484422
232	0.1297569395
233	0.12917464
234	0.1287159554
235	0.1280366511
236	0.1273253999
237	0.1266694947
238	0.1260315718
239	0.1254727843
240	0.1246221101
241	0.1240497854
242	0.1234665739
243	0.1228245345
244	0.1223204133
245	0.1217287663
246	0.1212133983
247	0.1206646122
248	0.1201489944
249	0.1198022349
250	0.1192716658
251	0.1186798569
252	0.1182235814
253	0.117765369
254	0.117338319
255	0.1169119894
256	0.1164697345
257	0.1159926842
258	0.1153771145
259	0.1147581131
260	0.1141520175
261	0.113645213
262	0.113028961
263	0.1126167166
264	0.1121166678
265	0.1116394197
266	0.1112084037
267	0.110692218
268	0.1102605663
269	0.1096535833
270	0.109185333
271	0.1087453619
272	0.1083544182
273	0.1078886827
274	0.1074279023
275	0.1069501152
276	0.106438305
277	0.1060103269
278	0.1055874115
279	0.1050709054
280	0.104536553
281	0.1039677877
282	0.1035860541
283	0.1031270371
284	0.1027857156
285	0.1024055435
286	0.1019038482
287	0.1014497913
288	0.1009776434
289	0.1006253434
290	0.1002661989
291	0.09985581031
292	0.09943139688
293	0.09899755855
294	0.09864379291
295	0.09825976938
296	0.09787955243
297	0.09750377279
298	0.09707670592
299	0.09675076689
300	0.09639204486
301	0.095918119
302	0.09554159089
303	0.0952596317
304	0.09469615883
305	0.09429469696
306	0.09394973081
307	0.09352398017
308	0.09321490428
309	0.09290013898
310	0.09250959817
311	0.09211841531
312	0.09167161903
313	0.0913074372
314	0.09095766
315	0.09064171647
316	0.09032111296
317	0.09000486158
318	0.08973044682
319	0.08932530041
320	0.08908070171
321	0.08879645618
322	0.08847543961
323	0.0881073027
324	0.0877831778
325	0.08750840465
326	0.08707865489
327	0.08677681895
328	0.08644172266
329	0.08613855302
330	0.08581217033
331	0.08548327284
332	0.08517316953
333	0.0848343314
334	0.0844985116
335	0.08411593982
336	0.0838055016
337	0.08350083048
338	0.08315555495
339	0.08281016462
340	0.08241362214
341	0.08210782334
342	0.08182081787
343	0.08153730074
344	0.08127206577
345	0.08102530946
346	0.08068607442
347	0.08043656583
348	0.08013254893
349	0.07983843242
350	0.07960684346
351	0.07930356394
352	0.0790494579
353	0.07880785312
354	0.07849141188
355	0.07814144671
356	0.07787342639
357	0.0776069982
358	0.07737215335
359	0.07714598774
360	0.07686290109
361	0.07657507704
362	0.07630032552
363	0.07592566307
364	0.07567067462
365	0.07536063586
366	0.07514394609
367	0.07493218447
368	0.07468075426
369	0.07441477576
370	0.0741709631
371	0.07393805539
372	0.07372272769
373	0.0734765158
374	0.0731879598
375	0.07288241988
376	0.07258782266
377	0.07240985047
378	0.07221956538
379	0.07197421767
380	0.07168267308
381	0.0714225278
382	0.07120753219
383	0.07096919606
384	0.07076865354
385	0.07055783187
386	0.0702970773
387	0.07009018962
388	0.06987701612
389	0.06965727759
390	0.06932496293
391	0.06912132025
392	0.06891130916
393	0.06867193776
394	0.06844962738
395	0.06824861768
396	0.06807768417
397	0.06779063403
398	0.06754987364
399	0.06728328221
400	0.06705686863
401	0.06685196496
402	0.06662271791
403	0.06640638016
404	0.06622176671
405	0.06601861146
406	0.06584634143
407	0.06564525829
408	0.06544113029
409	0.06526167363
410	0.06505388618
411	0.0648831081
412	0.0647280793
413	0.06452400139
414	0.06432212939
415	0.06411471496
416	0.06390423413
417	0.06366421228
418	0.06342338824
419	0.06324197316
420	0.06303353563
421	0.06283103235
422	0.06258577602
423	0.06237987788
424	0.06218582706
425	0.06199594116
426	0.06177936198
427	0.06154404845
428	0.06137800347
429	0.06123935157
430	0.06105764565
431	0.0608867607
432	0.06070184829
433	0.06050945374
434	0.06033460114
435	0.06020542144
436	0.06000833846
437	0.05977285003
438	0.05961494619
439	0.05945633926
440	0.05925422521
441	0.05909867971
442	0.05890129049
443	0.05876949623
444	0.05860729076
445	0.05842890032
446	0.05826394033
447	0.05806277845
448	0.05783915432
449	0.05769944754
450	0.05750375499
451	0.05737080539
452	0.0572011022
453	0.05706355456
454	0.05684446575
455	0.05668558934
456	0.05652845976
457	0.0563647956
458	0.05621317545
459	0.05602646298
460	0.05589529082
461	0.0557219315
462	0.05550277431
463	0.05536670325
464	0.05517732392
465	0.05504976888
466	0.05482858305
467	0.0546848381
468	0.05453426294
469	0.05437663049
470	0.05424053085
471	0.05409243041
472	0.05391507396
473	0.05375557864
474	0.05359839572
475	0.05346970716
476	0.05333434505
477	0.0531925807
478	0.05305344405
479	0.0528498645
480	0.05269118564
481	0.05252032503
482	0.05238014623
483	0.05225037413
484	0.05212793358
485	0.05197742404
486	0.05181943349
487	0.05166426714
488	0.05152589742
489	0.0513631482
490	0.05121793421
491	0.05104739044
492	0.05091858339
493	0.05078405526
494	0.050637589
495	0.0504351704
496	0.05029055716
497	0.05019328018
498	0.05004267922
499	0.04991802221
