iter	Logloss
0	0.6857371442
1	0.6789093206
2	0.6707138421
3	0.6645855946
4	0.6577936203
5	0.651553219
6	0.6443541782
7	0.6395409267
8	0.6322616926
9	0.6251623822
10	0.6189448
11	0.6124125932
12	0.6058756702
13	0.5988045744
14	0.5928525843
15	0.5866244701
16	0.5799228964
17	0.5740789157
18	0.5688022738
19	0.5631110183
20	0.5574082712
21	0.5522134548
22	0.5468490924
23	0.541098009
24	0.5372557531
25	0.5319946126
26	0.5274091783
27	0.5224086156
28	0.517408543
29	0.5131302973
30	0.5085499012
31	0.5038089693
32	0.4993278167
33	0.4942641339
34	0.4894892828
35	0.4854710829
36	0.4802934842
37	0.4759404008
38	0.471500552
39	0.4674624314
40	0.4620943674
41	0.4577237425
42	0.453656895
43	0.4490742926
44	0.4450130854
45	0.440116059
46	0.4368072131
47	0.4329160793
48	0.4299633043
49	0.425737665
50	0.42166057
51	0.4177251203
52	0.4138253647
53	0.4101106577
54	0.4066992093
55	0.4036391652
56	0.4007065307
57	0.3977286426
58	0.3936689787
59	0.3902045348
60	0.3870741967
61	0.3844341451
62	0.3814429766
63	0.3782033102
64	0.3749437354
65	0.3721927228
66	0.3702410635
67	0.3670665062
68	0.3641480308
69	0.3621102758
70	0.3587269941
71	0.355472967
72	0.3519248151
73	0.3484857075
74	0.3459042551
75	0.3430582526
76	0.3406344869
77	0.3380095321
78	0.3350141557
79	0.3319361222
80	0.3290283583
81	0.326292141
82	0.3235851408
83	0.3207097039
84	0.3178781041
85	0.315033457
86	0.3128832652
87	0.3105945214
88	0.3081664526
89	0.3058343812
90	0.3032834937
91	0.3005505443
92	0.2984027249
93	0.2963395077
94	0.2942372361
95	0.2922281587
96	0.2898957131
97	0.2878320468
98	0.2856161555
99	0.2836341791
100	0.2815400044
101	0.279650227
102	0.2777533301
103	0.2758599611
104	0.2738947039
105	0.2717928635
106	0.2700522924
107	0.2678412903
108	0.2661286174
109	0.2640377231
110	0.2628269529
111	0.2612137209
112	0.2590218817
113	0.2576310755
114	0.2558288501
115	0.2538930265
116	0.252294395
117	0.2508693761
118	0.2491195486
119	0.2473800824
120	0.2459884014
121	0.2447593454
122	0.2433022209
123	0.2415347505
124	0.2398946976
125	0.238285269
126	0.2364548115
127	0.2344910814
128	0.2329358465
129	0.2312593405
130	0.2300290404
131	0.228971397
132	0.2272859982
133	0.2255519778
134	0.2241774282
135	0.2229141605
136	0.2215842955
137	0.2198877102
138	0.2184832091
139	0.2169220795
140	0.2156401257
141	0.2143551398
142	0.2132316343
143	0.2121754245
144	0.2105060641
145	0.2093948217
146	0.207923963
